account_id,frequency,loan_amount,loan_date,loan_duration,loan_pmt,status,card_type,disp_type,num_tsns,last_tsn_date,num_cc_withdraw,num_credit_in_cash,num_collect_from_diff_bank,num_cash_withdraw,num_remit_to_diff_bank,avg_cc_withdraw,avg_credit_in_cash,avg_collect_from_diff_bank,avg_cash_withdraw,avg_remit_to_diff_bank
2,POPLATEK MESICNE,80952,1994-01-05,24,3373.0,A,None,OWNER,956,1998-12-31,0.0,24.0,140.0,474.0,178.0,0.0,101.2552,3217.4393,2094.5962,1157.41
19,POPLATEK MESICNE,30276,1996-04-29,12,2523.0,B,None,OWNER,303,1998-12-31,0.0,17.0,45.0,143.0,8.0,0.0,151.1551,2448.2079,2515.3531,66.6139
25,POPLATEK MESICNE,30276,1997-12-08,12,2523.0,A,None,OWNER,274,1998-12-31,0.0,54.0,0.0,99.0,93.0,0.0,5431.2847,0.0,4435.9416,907.7847
37,POPLATEK MESICNE,318480,1998-10-14,60,5308.0,D,None,OWNER,130,1998-12-31,0.0,19.0,0.0,51.0,43.0,0.0,3803.8,0.0,2891.1538,579.0769
38,POPLATEK TYDNE,110736,1998-04-19,48,2307.0,C,None,OWNER,130,1998-12-31,0.0,14.0,17.0,37.0,45.0,0.0,382.3077,1969.6923,1205.2231,823.1308
67,POPLATEK MESICNE,165960,1996-05-02,24,6915.0,A,None,OWNER,382,1998-12-31,0.0,2.0,50.0,164.0,116.0,0.0,17.801,5919.3848,4604.0236,1257.8743
97,POPLATEK MESICNE,102876,1997-08-10,12,8573.0,A,classic,OWNER,548,1998-12-31,10.0,70.0,0.0,162.0,242.0,48.1752,2319.2701,0.0,1333.9599,765.1168
103,POPLATEK MESICNE,265320,1997-12-06,36,7370.0,D,None,OWNER,185,1998-12-31,0.0,38.0,0.0,90.0,11.0,0.0,4691.0595,0.0,4093.5135,438.2162
105,POPLATEK MESICNE,352704,1998-12-05,48,7348.0,C,classic,OWNER,59,1998-12-31,0.0,14.0,0.0,28.0,1.0,0.0,4285.3051,0.0,3913.9661,124.5424
110,POPLATEK MESICNE,162576,1997-09-08,36,4516.0,C,classic,OWNER,209,1998-12-31,5.0,32.0,0.0,79.0,64.0,70.8134,3568.8852,0.0,2464.8804,707.2153
132,POPLATEK PO OBRATU,88440,1996-11-06,12,7370.0,A,classic,OWNER,396,1998-12-31,4.0,94.0,0.0,210.0,24.0,37.8788,6458.4394,0.0,5832.1061,446.6667
173,POPLATEK MESICNE,104808,1994-05-31,12,8734.0,A,None,OWNER,1144,1998-12-31,0.0,190.0,0.0,352.0,480.0,0.0,2297.4126,0.0,1159.5804,1041.021
176,POPLATEK TYDNE,27456,1997-04-10,12,2288.0,A,None,OWNER,274,1998-12-31,0.0,53.0,0.0,102.0,90.0,0.0,5385.0949,0.0,4598.0547,545.9051
226,POPLATEK MESICNE,109344,1998-07-12,12,9112.0,C,classic,OWNER,129,1998-12-31,6.0,33.0,0.0,44.0,24.0,112.4031,3757.4729,0.0,1662.4419,1669.5814
276,POPLATEK MESICNE,160920,1998-12-02,36,4470.0,C,classic,OWNER,65,1998-12-31,1.0,1.0,13.0,28.0,9.0,55.3846,10.7692,5983.5692,4361.7385,710.2615
290,POPLATEK MESICNE,123696,1994-11-03,48,2577.0,A,None,OWNER,491,1998-12-31,0.0,100.0,0.0,171.0,160.0,0.0,4261.6151,0.0,3283.0631,927.9185
303,POPLATEK MESICNE,112752,1998-05-30,36,3132.0,C,classic,OWNER,176,1998-12-31,2.0,33.0,0.0,80.0,32.0,33.5227,2865.6818,0.0,1956.5909,664.767
309,POPLATEK MESICNE,91248,1998-11-25,48,1901.0,C,None,OWNER,108,1998-12-31,0.0,22.0,0.0,65.0,1.0,0.0,3944.6296,0.0,3724.1204,17.6019
314,POPLATEK PO OBRATU,66840,1997-05-03,24,2785.0,C,None,OWNER,446,1998-12-31,0.0,8.0,70.0,196.0,102.0,0.0,37.2197,6287.3946,4079.0942,2153.009
319,POPLATEK TYDNE,369000,1997-07-11,60,6150.0,C,None,OWNER,376,1998-12-31,0.0,74.0,0.0,138.0,126.0,0.0,4557.5319,0.0,3726.367,645.7021
330,POPLATEK MESICNE,331584,1998-07-12,48,6908.0,C,None,OWNER,260,1998-12-31,0.0,52.0,0.0,146.0,12.0,0.0,4740.0769,0.0,4246.4615,318.8308
339,POPLATEK TYDNE,468060,1997-12-25,60,7801.0,C,classic,OWNER,432,1998-12-31,4.0,4.0,56.0,196.0,116.0,27.7778,18.5185,6609.3102,5311.5324,873.6898
344,POPLATEK MESICNE,100980,1994-12-21,60,1683.0,C,None,OWNER,399,1998-12-31,0.0,67.0,0.0,166.0,105.0,0.0,2354.2406,0.0,1357.2431,879.4662
347,POPLATEK MESICNE,187224,1995-05-01,24,7801.0,B,None,OWNER,379,1998-12-31,0.0,89.0,0.0,207.0,22.0,0.0,5251.3615,0.0,4679.0686,452.8285
349,POPLATEK MESICNE,42816,1998-09-09,12,3568.0,C,None,OWNER,214,1998-12-31,0.0,64.0,0.0,76.0,36.0,0.0,1660.8318,0.0,775.2336,743.1028
378,POPLATEK MESICNE,230400,1997-10-11,60,3840.0,C,None,OWNER,344,1998-12-31,0.0,73.0,0.0,114.0,127.0,0.0,5741.1163,0.0,4691.9186,959.1744
426,POPLATEK MESICNE,252060,1994-07-19,60,4201.0,D,None,OWNER,444,1998-12-31,0.0,89.0,0.0,129.0,165.0,0.0,3515.4887,0.0,1922.8581,1543.8536
440,POPLATEK MESICNE,84288,1998-03-13,48,1756.0,C,None,OWNER,147,1998-12-31,0.0,28.0,0.0,67.0,28.0,0.0,2962.1769,0.0,1716.9048,860.4014
442,POPLATEK MESICNE,357840,1997-07-10,48,7455.0,D,None,OWNER,80,1998-12-31,0.0,18.0,0.0,24.0,21.0,0.0,5343.0375,0.0,3365.075,1323.7875
472,POPLATEK MESICNE,196800,1997-04-28,24,8200.0,D,None,OWNER,159,1998-12-31,0.0,2.0,26.0,86.0,19.0,0.0,15.0943,8819.0629,7700.195,979.8742
501,POPLATEK MESICNE,262980,1996-10-24,60,4383.0,C,None,OWNER,233,1998-12-31,0.0,57.0,0.0,112.0,26.0,0.0,5718.1888,0.0,4916.9528,489.0901
525,POPLATEK MESICNE,210384,1997-07-16,48,4383.0,C,None,OWNER,188,1998-12-31,0.0,45.0,0.0,71.0,40.0,0.0,5046.8138,0.0,3366.8138,1185.9202
544,POPLATEK MESICNE,91152,1996-08-22,24,3798.0,A,classic,OWNER,254,1998-12-31,4.0,13.0,43.0,127.0,24.0,32.6772,279.5276,4216.878,3704.0433,358.8661
666,POPLATEK MESICNE,12540,1997-11-28,12,1045.0,A,classic,OWNER,552,1998-12-31,38.0,90.0,0.0,166.0,192.0,140.5797,2066.2609,0.0,883.0435,773.1304
675,POPLATEK MESICNE,102240,1997-04-01,60,1704.0,C,classic,OWNER,526,1998-12-31,8.0,130.0,0.0,192.0,114.0,35.7414,1980.0038,0.0,708.8973,1006.3574
718,POPLATEK MESICNE,76944,1997-08-20,12,6412.0,A,classic,OWNER,281,1998-12-31,3.0,59.0,0.0,96.0,92.0,33.8078,5008.0249,0.0,3256.395,1583.0071
785,POPLATEK TYDNE,156096,1998-02-12,36,4336.0,C,None,OWNER,108,1998-12-31,0.0,6.0,17.0,45.0,23.0,0.0,94.4444,4456.2593,2895.9352,1263.2963
789,POPLATEK MESICNE,73056,1995-11-23,48,1522.0,C,None,OWNER,588,1998-12-31,0.0,106.0,0.0,146.0,242.0,0.0,1033.9864,0.0,242.2109,733.5442
790,POPLATEK MESICNE,208128,1994-07-24,48,4336.0,B,classic,OWNER,406,1998-12-31,16.0,91.0,0.0,191.0,41.0,83.7438,4649.936,0.0,4084.9212,437.8719
808,POPLATEK MESICNE,215616,1996-04-11,48,4492.0,D,None,OWNER,286,1998-12-31,0.0,44.0,0.0,127.0,31.0,0.0,2458.7762,0.0,1886.8706,486.9231
813,POPLATEK MESICNE,24312,1994-05-11,12,2026.0,A,None,OWNER,392,1998-12-31,0.0,13.0,71.0,225.0,12.0,0.0,82.6531,2387.3929,2345.0051,62.0204
816,POPLATEK MESICNE,48624,1995-01-08,24,2026.0,A,None,OWNER,493,1998-12-31,0.0,118.0,0.0,227.0,83.0,0.0,5696.4868,0.0,4888.3854,638.8438
817,POPLATEK MESICNE,538500,1995-02-17,60,8975.0,C,None,OWNER,361,1998-12-31,0.0,58.0,0.0,147.0,99.0,0.0,3673.8393,0.0,1753.1302,1819.7091
825,POPLATEK MESICNE,53076,1997-02-02,12,4423.0,A,classic,OWNER,218,1998-12-31,2.0,48.0,0.0,93.0,41.0,25.2294,2838.9266,0.0,1173.922,1471.9771
846,POPLATEK MESICNE,187104,1996-07-28,24,7796.0,A,classic,OWNER,229,1998-12-31,1.0,64.0,0.0,106.0,24.0,14.4105,6433.8865,0.0,5139.8079,817.048
854,POPLATEK MESICNE,87216,1995-05-30,48,1817.0,C,None,OWNER,511,1998-12-31,0.0,66.0,0.0,163.0,219.0,0.0,1414.771,0.0,689.7652,650.6771
873,POPLATEK MESICNE,178500,1998-02-24,60,2975.0,C,None,OWNER,150,1998-12-31,0.0,33.0,0.0,41.0,56.0,0.0,1219.7867,0.0,473.7667,667.0867
915,POPLATEK MESICNE,309552,1995-09-16,48,6449.0,C,None,OWNER,330,1998-12-31,0.0,7.0,47.0,147.0,82.0,0.0,87.8788,5979.9818,3224.8455,2624.3152
938,POPLATEK MESICNE,22260,1998-05-21,60,371.0,C,None,OWNER,63,1998-12-31,0.0,19.0,0.0,18.0,14.0,0.0,1338.0952,0.0,484.2063,405.8889
940,POPLATEK MESICNE,284280,1996-05-29,60,4738.0,C,gold,OWNER,594,1998-12-31,8.0,16.0,98.0,312.0,62.0,34.3434,107.0707,6815.771,6075.202,494.5387
960,POPLATEK PO OBRATU,189060,1995-05-24,60,3151.0,C,classic,OWNER,369,1998-12-31,9.0,5.0,50.0,166.0,89.0,59.0786,110.2981,5909.4715,4671.7561,1107.6775
993,POPLATEK MESICNE,108720,1998-07-01,60,1812.0,C,classic,OWNER,105,1998-12-31,1.0,26.0,0.0,47.0,6.0,17.1429,6096.7619,0.0,5040.4667,103.5429
1004,POPLATEK MESICNE,188532,1998-04-11,36,5237.0,C,None,OWNER,210,1998-12-31,0.0,57.0,0.0,116.0,9.0,0.0,7460.7238,0.0,6903.4667,224.4429
1011,POPLATEK MESICNE,204000,1995-12-18,60,3400.0,C,None,OWNER,323,1998-12-31,0.0,10.0,48.0,137.0,80.0,0.0,131.2693,3284.6811,1930.6904,1344.1981
1012,POPLATEK MESICNE,98184,1994-10-28,24,4091.0,A,None,OWNER,412,1998-12-31,0.0,17.0,54.0,212.0,21.0,0.0,280.3398,3485.1626,3491.5728,208.5218
1068,POPLATEK MESICNE,253200,1998-09-24,60,4220.0,C,None,OWNER,158,1998-12-31,0.0,27.0,0.0,52.0,57.0,0.0,2819.057,0.0,1584.7089,1064.6582
1071,POPLATEK TYDNE,253200,1994-01-20,60,4220.0,C,None,OWNER,393,1998-12-31,0.0,85.0,0.0,181.0,59.0,0.0,4784.0407,0.0,4112.8092,633.5369
1083,POPLATEK MESICNE,50976,1998-04-16,36,1416.0,C,None,OWNER,192,1998-12-31,0.0,34.0,0.0,63.0,70.0,0.0,1793.6458,0.0,867.2917,827.2604
1093,POPLATEK MESICNE,385104,1997-06-13,48,8023.0,C,None,OWNER,243,1998-12-31,0.0,1.0,35.0,123.0,49.0,0.0,4.1152,7527.6091,5491.144,1903.3128
1106,POPLATEK TYDNE,192552,1994-11-12,24,8023.0,B,None,OWNER,379,1998-12-31,0.0,85.0,0.0,212.0,20.0,0.0,4655.1135,0.0,4252.1029,423.3773
1166,POPLATEK MESICNE,149040,1994-02-07,48,3105.0,A,None,OWNER,447,1998-12-31,0.0,5.0,68.0,194.0,112.0,0.0,21.0291,3084.3132,2068.651,962.9709
1242,POPLATEK PO OBRATU,128544,1997-09-07,24,5356.0,C,None,OWNER,230,1998-12-31,0.0,43.0,0.0,61.0,100.0,0.0,3857.5087,0.0,2542.9,1198.3478
1244,POPLATEK MESICNE,35904,1997-02-28,48,748.0,C,None,OWNER,254,1998-12-31,0.0,43.0,0.0,52.0,128.0,0.0,789.1811,0.0,298.7795,425.2874
1247,POPLATEK MESICNE,99696,1995-03-16,48,2077.0,D,None,OWNER,429,1998-12-31,0.0,107.0,0.0,220.0,42.0,0.0,5768.3893,0.0,5358.7389,203.3427
1250,POPLATEK MESICNE,182640,1996-11-25,48,3805.0,C,None,OWNER,221,1998-12-31,0.0,2.0,33.0,71.0,82.0,0.0,6.7873,3719.0633,1902.7376,1759.4299
1252,POPLATEK TYDNE,148140,1997-04-01,36,4115.0,C,None,OWNER,240,1998-12-31,0.0,5.0,41.0,132.0,21.0,0.0,25.0,4577.5667,4010.1417,360.0625
1256,POPLATEK MESICNE,71064,1995-05-29,36,1974.0,A,None,OWNER,409,1998-12-31,0.0,61.0,0.0,152.0,140.0,0.0,2305.1149,0.0,1210.8191,1016.4303
1270,POPLATEK PO OBRATU,74772,1997-07-01,36,2077.0,C,None,OWNER,186,1998-12-31,0.0,4.0,31.0,76.0,44.0,0.0,44.6237,2278.3656,1407.7312,782.7849
1284,POPLATEK MESICNE,52512,1998-12-05,12,4376.0,C,None,OWNER,91,1998-12-31,0.0,25.0,0.0,51.0,1.0,0.0,6164.0549,0.0,5816.8791,48.0879
1318,POPLATEK MESICNE,185544,1998-10-11,36,5154.0,C,None,OWNER,57,1998-12-31,0.0,16.0,0.0,13.0,18.0,0.0,3597.3333,0.0,1909.9298,1107.0175
1329,POPLATEK MESICNE,23520,1997-09-06,12,1960.0,A,None,OWNER,350,1998-12-31,0.0,10.0,54.0,116.0,116.0,0.0,112.0,1982.5829,713.1543,1244.84
1374,POPLATEK MESICNE,389136,1997-09-15,48,8107.0,C,None,OWNER,166,1998-12-31,0.0,2.0,27.0,95.0,15.0,0.0,24.0964,8644.5663,7745.5602,732.5602
1375,POPLATEK MESICNE,45336,1995-08-29,24,1889.0,A,None,OWNER,358,1998-12-31,0.0,60.0,0.0,166.0,76.0,0.0,3478.8994,0.0,2285.3771,987.9777
1389,POPLATEK MESICNE,125472,1998-09-02,24,5228.0,C,None,OWNER,126,1998-12-31,0.0,35.0,0.0,55.0,19.0,0.0,5530.1905,0.0,4126.0794,925.0159
1407,POPLATEK PO OBRATU,125472,1998-01-17,24,5228.0,C,None,OWNER,364,1998-12-31,0.0,102.0,0.0,160.0,60.0,0.0,7282.7692,0.0,5039.8407,1869.5934
1447,POPLATEK MESICNE,100080,1997-06-03,48,2085.0,C,None,OWNER,127,1998-12-31,0.0,8.0,22.0,39.0,36.0,0.0,88.189,2363.7165,858.3386,1459.1339
1480,POPLATEK TYDNE,123300,1998-01-19,36,3425.0,C,classic,OWNER,162,1998-12-31,4.0,42.0,0.0,79.0,11.0,70.3704,6490.4691,0.0,6035.9259,232.5617
1498,POPLATEK TYDNE,165780,1998-10-07,60,2763.0,C,None,OWNER,132,1998-12-31,0.0,27.0,0.0,61.0,2.0,0.0,4971.5227,0.0,4463.947,41.8636
1527,POPLATEK PO OBRATU,164052,1994-11-19,36,4557.0,B,None,OWNER,389,1998-12-31,0.0,88.0,0.0,207.0,32.0,0.0,4746.4062,0.0,4313.8997,374.8689
1528,POPLATEK MESICNE,191088,1997-07-21,48,3981.0,C,None,OWNER,193,1998-12-31,0.0,37.0,0.0,108.0,17.0,0.0,3253.9689,0.0,2598.8083,350.658
1580,POPLATEK MESICNE,194256,1997-11-27,24,8094.0,C,classic,OWNER,208,1998-12-31,3.0,50.0,0.0,107.0,13.0,46.6346,5716.3221,0.0,5039.0817,505.875
1583,POPLATEK PO OBRATU,388512,1996-08-24,48,8094.0,D,None,OWNER,339,1998-12-31,0.0,91.0,0.0,174.0,24.0,0.0,5720.9735,0.0,4969.2596,573.0265
1603,POPLATEK MESICNE,78936,1994-02-06,12,6578.0,A,None,OWNER,499,1998-12-31,0.0,129.0,0.0,164.0,138.0,0.0,1676.3687,0.0,960.1303,605.8798
1638,POPLATEK TYDNE,64224,1998-01-26,24,2676.0,C,None,OWNER,220,1998-12-31,0.0,46.0,0.0,70.0,52.0,0.0,3492.4273,0.0,1696.3818,1597.0091
1656,POPLATEK MESICNE,189792,1998-10-29,48,3954.0,C,None,OWNER,144,1998-12-31,0.0,7.0,23.0,71.0,20.0,0.0,113.8889,4119.0972,2372.4931,1569.0417
1698,POPLATEK MESICNE,141948,1996-07-06,36,3943.0,C,classic,OWNER,213,1998-12-31,0.0,36.0,0.0,86.0,58.0,0.0,3280.1362,0.0,1202.4413,1849.6009
1718,POPLATEK MESICNE,172272,1998-08-20,24,7178.0,C,None,OWNER,83,1998-12-31,0.0,1.0,15.0,38.0,14.0,0.0,3.6145,8732.6747,5341.5663,2087.6145
1762,POPLATEK MESICNE,248148,1995-04-28,36,6893.0,A,None,OWNER,490,1998-12-31,0.0,68.0,0.0,161.0,201.0,0.0,2581.6735,0.0,1338.1327,1199.7612
1766,POPLATEK MESICNE,30060,1996-06-15,60,501.0,C,classic,OWNER,483,1998-12-31,24.0,55.0,0.0,134.0,218.0,113.6646,2302.3851,0.0,1412.2671,696.2215
1772,POPLATEK TYDNE,202788,1996-03-13,36,5633.0,C,None,OWNER,330,1998-12-31,0.0,7.0,46.0,156.0,75.0,0.0,106.9697,7302.8667,5124.4939,2089.8091
1776,POPLATEK MESICNE,43200,1998-05-27,24,1800.0,C,None,OWNER,103,1998-12-31,0.0,19.0,0.0,48.0,19.0,0.0,2504.6408,0.0,1357.0874,787.5728
1787,POPLATEK TYDNE,96396,1993-07-05,12,8033.0,B,None,OWNER,403,1998-12-31,0.0,90.0,0.0,245.0,4.0,0.0,5081.2035,0.0,5010.8238,79.732
1801,POPLATEK MESICNE,165960,1993-07-11,36,4610.0,A,None,OWNER,633,1998-12-31,0.0,117.0,0.0,205.0,240.0,0.0,3809.5371,0.0,2499.6935,1179.8041
1808,POPLATEK MESICNE,385584,1998-09-30,48,8033.0,C,None,OWNER,202,1998-12-31,0.0,62.0,0.0,102.0,6.0,0.0,6267.8515,0.0,5596.4851,238.604
1811,POPLATEK MESICNE,239460,1994-06-23,60,3991.0,C,None,OWNER,470,1998-12-31,0.0,16.0,63.0,158.0,170.0,0.0,139.3617,3489.8681,1713.4936,1809.9404
1819,POPLATEK TYDNE,143676,1998-01-11,36,3991.0,C,None,OWNER,184,1998-12-31,0.0,40.0,0.0,51.0,67.0,0.0,4543.337,0.0,2709.9728,1289.7717
1843,POPLATEK MESICNE,105804,1993-08-03,36,2939.0,A,classic,OWNER,462,1998-12-31,2.0,11.0,71.0,205.0,103.0,11.6883,66.6667,2938.6667,1702.7403,1243.2944
1862,POPLATEK TYDNE,396120,1996-10-16,60,6602.0,C,classic,OWNER,275,1998-12-31,3.0,6.0,44.0,152.0,26.0,32.7273,90.9091,6913.7455,6112.2073,624.1891
1869,POPLATEK MESICNE,37944,1998-01-29,36,1054.0,C,classic,OWNER,169,1998-12-31,12.0,31.0,0.0,85.0,11.0,139.0533,4746.0355,0.0,4037.7219,68.6036
1876,POPLATEK MESICNE,209040,1998-09-10,24,8710.0,C,junior,OWNER,92,1998-12-31,1.0,19.0,0.0,32.0,25.0,11.9565,3445.663,0.0,2195.7609,735.75
1886,POPLATEK MESICNE,162468,1996-07-31,36,4513.0,C,None,OWNER,418,1998-12-31,0.0,2.0,68.0,164.0,116.0,0.0,3.3493,4793.3589,3377.2775,1208.7033
1888,POPLATEK MESICNE,57360,1997-08-30,12,4780.0,B,None,OWNER,249,1998-12-31,0.0,4.0,26.0,90.0,77.0,0.0,34.5382,3300.9639,2518.2048,851.9036
1906,POPLATEK MESICNE,44952,1997-10-08,24,1873.0,C,None,OWNER,216,1998-12-31,0.0,40.0,0.0,84.0,63.0,0.0,4146.9583,0.0,3028.6481,964.8472
1928,POPLATEK MESICNE,55632,1998-12-06,24,2318.0,C,None,OWNER,119,1998-12-31,0.0,8.0,22.0,66.0,1.0,0.0,404.2017,2804.3866,2927.5378,19.479
1967,POPLATEK TYDNE,249312,1996-04-21,48,5194.0,C,None,OWNER,302,1998-12-31,0.0,75.0,0.0,114.0,67.0,0.0,6116.2351,0.0,3856.798,2191.8808
1978,POPLATEK TYDNE,205200,1994-12-04,36,5700.0,A,None,OWNER,564,1998-12-31,0.0,3.0,66.0,207.0,222.0,0.0,11.3475,4335.8918,2429.7855,1821.1596
1993,POPLATEK MESICNE,68400,1995-04-15,12,5700.0,B,None,OWNER,243,1998-12-31,0.0,48.0,0.0,134.0,11.0,0.0,4547.1893,0.0,4100.6502,258.0247
2000,POPLATEK MESICNE,290820,1998-07-14,60,4847.0,C,classic,OWNER,128,1998-12-31,0.0,19.0,0.0,49.0,43.0,0.0,2807.0156,0.0,1767.6563,532.5078
2018,POPLATEK MESICNE,38520,1997-01-21,12,3210.0,A,None,OWNER,244,1998-12-31,0.0,68.0,0.0,82.0,51.0,0.0,1188.668,0.0,471.1885,655.7582
2035,POPLATEK MESICNE,176328,1998-01-25,36,4898.0,C,None,OWNER,564,1998-12-31,0.0,10.0,62.0,192.0,238.0,0.0,43.9716,3543.3652,2236.9894,1103.9823
2051,POPLATEK TYDNE,293880,1997-04-22,60,4898.0,D,gold,OWNER,224,1998-12-31,2.0,61.0,0.0,111.0,16.0,49.5536,6632.3795,0.0,5852.2009,349.8571
2055,POPLATEK MESICNE,271260,1998-07-19,60,4521.0,C,None,OWNER,99,1998-12-31,0.0,24.0,0.0,35.0,20.0,0.0,2371.4343,0.0,1003.0808,1265.303
2062,POPLATEK MESICNE,86184,1996-10-29,12,7182.0,A,classic,OWNER,269,1998-12-31,1.0,3.0,34.0,127.0,70.0,8.9219,10.4089,5927.5539,5154.2565,670.0483
2064,POPLATEK MESICNE,83628,1997-08-26,36,2323.0,C,None,OWNER,128,1998-12-31,0.0,2.0,24.0,62.0,16.0,0.0,50.7813,2830.75,2290.9688,290.375
2073,POPLATEK MESICNE,44640,1998-10-05,24,1860.0,C,None,OWNER,83,1998-12-31,0.0,18.0,0.0,46.0,3.0,0.0,3665.2289,0.0,3183.6747,67.2289
2080,POPLATEK MESICNE,214596,1997-09-12,36,5961.0,C,classic,OWNER,256,1998-12-31,2.0,2.0,40.0,108.0,64.0,16.4063,3.125,8475.6875,5374.0313,2448.625
2106,POPLATEK MESICNE,101520,1996-10-03,12,8460.0,A,None,OWNER,185,1998-12-31,0.0,37.0,0.0,70.0,43.0,0.0,2559.9784,0.0,1301.4595,1129.8811
2116,POPLATEK MESICNE,92400,1997-08-04,12,7700.0,A,classic,OWNER,224,1998-12-31,3.0,45.0,0.0,76.0,68.0,29.4643,3707.0313,0.0,2567.067,1001.75
2134,POPLATEK MESICNE,22932,1997-03-17,36,637.0,C,None,OWNER,204,1998-12-31,0.0,31.0,0.0,73.0,71.0,0.0,1986.6275,0.0,1200.2941,526.2353
2142,POPLATEK MESICNE,23328,1998-03-07,12,1944.0,C,None,OWNER,182,1998-12-31,0.0,40.0,0.0,68.0,42.0,0.0,3703.5714,0.0,1989.7253,1394.3736
2143,POPLATEK MESICNE,71460,1996-09-09,36,1985.0,C,junior,OWNER,456,1998-12-31,20.0,74.0,0.0,174.0,118.0,95.1754,3793.6316,0.0,2361.7105,1231.4211
2153,POPLATEK TYDNE,61560,1996-11-28,12,5130.0,A,classic,OWNER,274,1998-12-31,0.0,1.0,36.0,94.0,107.0,0.0,0.7299,4380.6788,2283.938,1882.3102
2165,POPLATEK MESICNE,78600,1997-08-22,24,3275.0,C,None,OWNER,124,1998-12-31,0.0,10.0,21.0,40.0,32.0,0.0,218.5484,3644.5887,1540.9032,2034.5806
2167,POPLATEK MESICNE,170256,1994-10-30,24,7094.0,A,classic,OWNER,412,1998-12-31,15.0,69.0,0.0,180.0,84.0,90.0485,4122.2718,0.0,2614.1869,1275.6699
2176,POPLATEK MESICNE,299088,1994-07-30,36,8308.0,B,None,OWNER,471,1998-12-05,0.0,84.0,0.0,175.0,148.0,0.0,4310.2314,0.0,3077.1359,1251.8556
2187,POPLATEK TYDNE,53472,1997-11-04,12,4456.0,A,None,OWNER,444,1998-12-31,0.0,120.0,0.0,232.0,24.0,0.0,6999.9009,0.0,6308.3604,240.8649
2218,POPLATEK MESICNE,182040,1995-11-18,60,3034.0,C,classic,OWNER,612,1998-12-31,10.0,8.0,98.0,324.0,74.0,48.6928,73.2026,7174.9444,6608.951,366.8562
2227,POPLATEK TYDNE,92976,1995-12-12,24,3874.0,A,classic,OWNER,840,1998-12-31,2.0,240.0,0.0,350.0,142.0,7.1429,6539.3905,0.0,4710.6548,1719.3286
2228,POPLATEK MESICNE,185952,1995-03-29,48,3874.0,C,None,OWNER,356,1998-12-31,0.0,72.0,0.0,137.0,91.0,0.0,4515.8343,0.0,3399.4831,1087.3034
2236,POPLATEK MESICNE,139464,1996-09-26,36,3874.0,D,None,OWNER,171,1998-11-30,0.0,30.0,0.0,85.0,18.0,0.0,3797.0058,0.0,3418.5614,407.7895
2245,POPLATEK MESICNE,347952,1995-01-16,48,7249.0,C,None,OWNER,408,1998-12-31,0.0,102.0,0.0,192.0,47.0,0.0,6102.0441,0.0,5000.527,835.0564
2246,POPLATEK MESICNE,415800,1997-02-05,60,6930.0,C,None,OWNER,189,1998-12-31,0.0,50.0,0.0,85.0,23.0,0.0,6647.8624,0.0,5435.6402,843.3333
2247,POPLATEK MESICNE,72504,1997-02-24,24,3021.0,C,None,OWNER,300,1998-12-31,0.0,39.0,0.0,82.0,146.0,0.0,2721.5533,0.0,2045.1167,598.2933
2262,POPLATEK MESICNE,230220,1998-12-02,36,6395.0,C,classic,OWNER,162,1998-12-31,3.0,46.0,0.0,89.0,1.0,48.1481,8187.2531,0.0,7447.1235,39.4753
